iter	Passed	Remaining
447	1095	1350
448	1097	1346
449	1098	1342
450	1099	1338
451	1101	1335
452	1102	1331
453	1104	1328
454	1106	1325
455	1107	1321
456	1109	1317
457	1110	1314
458	1111	1310
459	1113	1306
460	1114	1303
461	1116	1299
462	1117	1296
463	1120	1294
464	1122	1291
465	1123	1287
466	1125	1284
467	1126	1280
468	1127	1276
469	1129	1273
470	1131	1270
471	1132	1267
472	1135	1265
473	1137	1261
474	1138	1258
475	1140	1254
476	1141	1251
477	1142	1247
478	1144	1244
479	1145	1241
480	1148	1239
481	1150	1236
482	1151	1232
483	1153	1229
484	1154	1226
485	1155	1222
486	1157	1219
487	1159	1216
488	1160	1212
489	1163	1210
490	1165	1207
491	1166	1204
492	1167	1201
493	1169	1197
494	1170	1194
495	1172	1191
496	1173	1187
497	1174	1184
498	1176	1180
499	1179	1179
500	1181	1176
501	1182	1173
502	1183	1169
503	1185	1166
504	1186	1163
505	1188	1159
506	1189	1156
507	1190	1153
508	1194	1152
509	1195	1148
510	1197	1145
511	1198	1142
512	1200	1139
513	1201	1136
514	1202	1132
515	1204	1129
516	1205	1126
517	1209	1125
518	1210	1121
519	1212	1118
520	1213	1115
521	1215	1112
522	1216	1109
523	1218	1106
524	1219	1103
525	1220	1100
526	1224	1098
527	1225	1095
528	1227	1092
529	1228	1089
530	1230	1086
531	1231	1083
532	1232	1080
533	1234	1076
534	1235	1073
535	1238	1072
536	1240	1069
537	1242	1066
538	1243	1063
539	1244	1060
540	1246	1057
541	1247	1054
542	1248	1051
543	1250	1048
544	1253	1046
545	1255	1043
546	1256	1040
547	1257	1037
548	1259	1034
549	1260	1031
550	1262	1028
551	1263	1025
552	1264	1022
553	1267	1020
554	1270	1018
555	1271	1015
556	1273	1012
557	1274	1009
558	1276	1006
559	1277	1003
560	1278	1000
561	1280	997
562	1283	996
563	1285	993
564	1286	990
565	1287	987
566	1289	984
567	1290	981
568	1291	978
569	1293	975
570	1294	972
571	1295	969
572	1301	969
573	1302	966
574	1303	963
575	1305	960
576	1306	957
577	1307	954
578	1309	952
579	1310	949
580	1314	947
581	1315	945
582	1317	942
583	1318	939
584	1320	936
585	1321	933
586	1322	930
587	1324	927
588	1325	925
589	1329	923
590	1330	920
591	1331	917
592	1333	915
593	1334	912
594	1336	909
595	1337	906
596	1338	903
597	1340	901
598	1343	899
599	1345	896
600	1346	893
601	1347	891
602	1349	888
603	1350	885
604	1351	882
605	1353	879
606	1354	877
607	1357	875
608	1359	872
609	1360	870
610	1362	867
611	1363	864
612	1364	861
613	1366	858
614	1367	856
615	1369	853
616	1370	850
617	1374	849
618	1375	846
619	1376	843
620	1378	841
621	1379	838
622	1381	835
623	1382	833
624	1383	830
625	1385	827
626	1388	825
627	1389	823
628	1391	820
629	1392	817
630	1393	815
631	1395	812
632	1396	809
633	1398	807
634	1399	804
635	1402	802
636	1404	800
637	1405	797
638	1407	794
639	1408	792
640	1409	789
641	1411	787
642	1412	784
643	1414	781
644	1415	779
645	1417	777
646	1419	774
647	1420	771
648	1422	769
649	1423	766
650	1424	763
651	1426	761
652	1427	758
653	1429	756
654	1432	754
655	1433	751
656	1435	749
657	1436	746
658	1438	744
659	1439	741
660	1441	739
661	1442	736
662	1443	733
663	1447	732
664	1448	729
665	1450	727
666	1452	724
667	1454	722
668	1456	720
669	1457	718
670	1459	715
671	1462	714
672	1464	711
673	1465	709
674	1467	706
675	1468	703
676	1470	701
677	1471	698
678	1472	696
679	1474	693
680	1477	692
681	1479	689
682	1480	687
683	1482	684
684	1483	682
685	1484	679
686	1486	677
687	1487	674
688	1489	672
689	1492	670
690	1494	668
691	1495	665
692	1496	663
693	1498	660
694	1499	658
695	1501	655
696	1502	653
697	1503	650
698	1507	649
699	1508	646
700	1510	644
701	1511	641
702	1513	639
703	1514	636
704	1515	634
705	1516	631
706	1518	629
707	1520	627
708	1522	624
709	1524	622
710	1525	620
711	1526	617
712	1528	615
713	1529	612
714	1530	610
715	1532	607
716	1533	605
717	1537	603
718	1539	601
719	1540	599
720	1541	596
721	1543	594
722	1544	591
723	1546	589
724	1547	587
725	1550	585
726	1552	582
727	1553	580
728	1555	578
729	1557	575
730	1559	573
731	1560	571
732	1561	568
733	1563	566
734	1566	564
735	1567	562
736	1569	559
737	1570	557
738	1571	555
739	1573	552
740	1574	550
741	1576	548
742	1577	545
743	1581	544
744	1582	541
745	1583	539
746	1585	536
747	1586	534
748	1588	532
749	1589	529
750	1591	527
751	1592	525
752	1595	523
753	1596	520
754	1597	518
755	1599	516
756	1600	513
757	1602	511
758	1603	509
759	1604	506
760	1606	504
761	1607	502
762	1609	500
763	1611	497
764	1612	495
765	1613	493
766	1615	490
767	1616	488
768	1617	486
769	1619	483
770	1620	481
771	1622	479
772	1623	476
773	1625	474
774	1626	472
775	1628	470
776	1629	467
777	1631	465
778	1632	463
779	1633	460
780	1635	458
781	1636	456
782	1638	453
783	1639	451
784	1641	449
785	1642	447
786	1644	444
787	1645	442
788	1646	440
789	1648	438
790	1649	435
791	1651	433
792	1652	431
793	1654	429
794	1655	426
795	1657	424
796	1658	422
797	1659	420
798	1661	417
799	1662	415
800	1664	413
801	1665	411
802	1667	408
803	1669	406
804	1670	404
805	1672	402
806	1673	400
807	1675	398
808	1676	395
809	1678	393
810	1679	391
811	1680	389
812	1682	386
813	1684	384
814	1685	382
815	1687	380
816	1689	378
817	1690	376
818	1691	373
819	1693	371
820	1694	369
821	1696	367
822	1698	365
823	1699	363
824	1701	360
825	1702	358
826	1704	356
827	1705	354
828	1707	352
829	1708	349
830	1710	347
831	1711	345
832	1713	343
833	1715	341
834	1716	339
835	1717	337
836	1719	334
837	1720	332
838	1722	330
839	1723	328
840	1724	326
841	1726	323
842	1728	321
843	1729	319
844	1731	317
845	1733	315
846	1734	313
847	1735	311
848	1737	308
849	1738	306
850	1739	304
851	1741	302
852	1743	300
853	1744	298
854	1746	296
855	1747	293
856	1749	291
857	1750	289
858	1751	287
859	1753	285
860	1754	283
861	1755	281
862	1757	279
863	1759	276
864	1760	274
865	1762	272
866	1763	270
867	1765	268
868	1766	266
869	1767	264
870	1769	262
871	1770	259
872	1772	257
873	1773	255
874	1775	253
875	1776	251
876	1778	249
877	1779	247
878	1780	245
879	1782	243
880	1783	240
881	1784	238
882	1786	236
883	1788	234
884	1789	232
885	1791	230
886	1792	228
887	1794	226
888	1795	224
889	1796	222
890	1798	219
891	1799	217
892	1802	215
893	1804	213
894	1806	211
895	1807	209
896	1808	207
897	1810	205
898	1811	203
899	1812	201
900	1814	199
901	1816	197
902	1818	195
903	1819	193
904	1820	191
905	1822	189
906	1823	186
907	1824	184
908	1826	182
909	1827	180
910	1829	178
911	1830	176
912	1832	174
913	1833	172
914	1835	170
915	1836	168
916	1838	166
917	1839	164
918	1840	162
919	1842	160
920	1843	158
921	1844	156
922	1846	154
923	1848	152
924	1849	149
925	1850	147
926	1852	145
927	1853	143
928	1854	141
929	1856	139
930	1857	137
931	1859	135
932	1861	133
933	1862	131
934	1863	129
935	1865	127
936	1866	125
937	1867	123
938	1869	121
939	1870	119
940	1872	117
941	1873	115
942	1875	113
943	1876	111
944	1878	109
945	1879	107
946	1881	105
947	1883	103
948	1885	101
949	1886	99
950	1887	97
951	1889	95
952	1891	93
953	1892	91
954	1894	89
955	1895	87
956	1896	85
957	1898	83
958	1900	81
959	1901	79
960	1902	77
961	1905	75
962	1906	73
963	1908	71
964	1909	69
965	1911	67
966	1912	65
967	1914	63
968	1915	61
969	1916	59
970	1918	57
971	1920	55
972	1921	53
973	1923	51
974	1924	49
975	1926	47
976	1928	45
977	1929	43
978	1931	41
979	1932	39
980	1934	37
981	1935	35
982	1937	33
983	1938	31
984	1940	29
985	1941	27
986	1943	25
987	1944	23
988	1945	21
989	1947	19
990	1949	17
991	1950	15
992	1951	13
993	1953	11
994	1954	9
995	1956	7
996	1957	5
997	1959	3
998	1960	1
999	1961	0
